nama_lokasi,latitude,longitude
L5A-246,-3.45828,104.0683
L5A-247,-3.46774,104.0659
L5A-248,-3.45833,104.0683
L5A-249,-3.46269,104.0485
L5A-250,-3.46277,104.0483
L5A-251,-3.46273,104.0484
L5A-252,-3.46767,104.0659
L5A-253,-3.46782,104.0659
L5A-254,-3.46788,104.0659
L5A-255,-3.45768,104.0688
L5A-256,-3.45762,104.0689
L5A-257,-3.47869,104.0851
L5A-258,-3.45756,104.0689
L5A-259,-3.45854,104.0684
L5A-260,-3.47068,104.0901
L5A-261 / LTD-1,-3.46751,104.1119
L5A-262,-3.47875,104.0852
L5A-263,-3.45898,104.0752
L5A-264,-3.46392,104.0626
L5A-265,-3.45898,104.0751
L5A-266,-3.45897,104.075
L5A-267,-3.45896,104.0749
L5A-268 / LTD-02,-3.46755,104.1118
L5A-269,-3.45895,104.0749
L5A-270,-3.47879,104.0852
L5A-271,-3.46594,104.0646
L5A-272,-3.47067,104.0901
L5A-273,-3.46355,104.0529
L5A-274,-3.4596,104.0701
L5A-275,-3.45895,104.0748
L5A-276,-3.46242,104.0746
L5A-277,-3.46513,104.0921
L5A-278 / LTD-3,-3.46231,104.122
L5A-279,-3.46249,104.0746
L5A-280,-3.45971,104.07
L5A-281,-3.46397,104.0627
L5A-282,-3.46805,104.077
L5A-283,-3.45965,104.07
L5A-284,-3.46123,104.0554
L5A-285,-3.46123,104.0555
L5A-286,-3.46123,104.0556
L5A-287,-3.49758,104.0755
L5A-288,-3.46807,104.077
L5A-289,-3.46235,104.0747
L5A-290,-3.46513,104.0922
L5A-291,-3.46513,104.092
L5A-292,-3.46511,104.0923
L5A-293,-3.47072,104.0902
L5A-294,-3.52563,104.2277
L5A-295,-3.52729,104.2284
L5A-296,-3.52522,104.2307
L5A-297,-3.52533,104.2291
L5A-298,-3.52722,104.2285
L5A-299,-3.5084,104.2123
L5A-300,-3.52991,104.233
L5A-301,-3.47077,104.0902
L5A-302,-3.46512,104.0924
L5A-303,-3.47345,104.1035
L5A-304,-3.47872,104.0786
L5A-305,-3.46306,104.0846
L5A-306,-3.45583,104.0481
L5A-307,-3.49112,104.0981
L5A-308,-3.46735,104.1115
L5A-309,-3.4878,104.0772
LAB PE,-3.536389,104.308056
Laboratorium Limau Field,-3.47768,104.0826
LBA-X13,-3.49383,104.1138
LM-03,-3.48222,104.1003
LM-07,-3.49361,104.0903
LMC-001,-3.48399,104.0864
LMC-002,-3.48929,104.0851
LMC-003,-3.49467,104.0837
LMC-004,-3.49173,104.0846
LMC-006,-3.49407,104.1012
LMC-007,-3.48753,104.0853
LMC-008,-3.49072,104.0934
LMC-009,-3.49033,104.0851
LMC-010,-3.48348,104.0773
LMC-011,-3.48759,104.0773
LMC-012,-3.47998,104.0815
LMC-013,-3.48799,104.0933
LMC-014,-3.48531,104.0904
LMC-015,-3.49833,104.1046
LMC-016,-3.48138,104.1211
LMC-017,-3.49466,104.1016
LMC-018,-3.4934,104.09
LMC-019,-3.49066,104.1202
LMC-020,-3.50017,104.1194
LMC-021,-3.4961,104.094
LMC-022,-3.50391,104.1168
LMC-023,-3.49167,104.0759
LMC-024,-3.48594,104.1229
LMC-025,-3.48839,104.0796
LMC-026,-3.4951,104.117
LMC-027,-3.49338,104.0837
LMC-028,-3.50252,104.1124
LMC-029,-3.49823,104.1146
LMC-030,-3.50528,104.1139
LMC-031,-3.49828,104.1101
LMC-032,-3.50324,104.109
LMC-033,-3.49518,104.0788
LMC-034,-3.48348,104.1278
LMC-035,-3.49626,104.0835
LMC-036,-3.496,104.1248
LMC-037,-3.48344,104.0808
LMC-038,-3.48774,104.0909
LMC-039,-3.4835,104.1261
LMC-040,-3.50005,104.123
LMC-041,-3.49171,104.1131
LMC-042,-3.49014,104.1203
LMC-043,-3.50775,104.09
LMC-044,-3.48221,104.1309
LMC-045,-3.49443,104.1209
LMC-046,-3.47826,104.1304
LMC-047,-3.50693,104.1111
LMC-048,-3.4939,104.1138
LMC-049,-3.4975,104.1188
LTD-05,-3.46736,104.1116
LTD-06,-3.46731,104.1115
Point 22,-3.51954,104.2804
POOL LEMATANG,-3.477944674116809,104.07489991390607
POOL LIMAU,-3.477944674116809,104.07489991390607
SBS-001,-3.68385,103.6896
SBS-002,-3.68427,103.69
SBS-003,-3.68429,103.6882
SBS-004,-3.68387,103.6878
SBS-005,-3.68413,103.6875
SBS-006,-3.68427,103.6897
SBS-007,-3.68431,103.6892
SBS-008,-3.68387,103.6883
SKG-001,-3.63452,103.7125
SKG-002,-3.63709,103.7134
SKG-003,-3.6379,103.7153
SKG-004,-3.63837,103.7124
SKG-005,-3.6362,103.7174
SKG-006,-3.63502,103.7198
SKG-007,-3.63224,103.7206
SKG-008,-3.63447,103.7162
SKG-009,-3.63721,103.7142
SKG-010,-3.63205,103.7124
SKG-011,-3.63752,103.7124
SKG-012,-3.63214,103.715
SKG-013,-3.63017,103.7147
SKG-014,-3.62891,103.7132
SKG-015,-3.6309,103.713
SKG-016,-3.63548,103.7133
SKG-017,-3.6336,103.7121
SKG-018,-3.63286,103.7109
SKG-019,-3.63009,103.7121
SKG-020,-3.63098,103.7117
SKG-021,-3.63361,103.7099
SKG-022,-3.63299,103.709
SKG-023,-3.63119,103.7085
SKG-I,-3.49817,104.1765
SKG-II,-3.491,104.0957
SP TMB,-3.547551,104.324321
SP-BELIMBING,-3.44429,103.9537
SP-II,-3.48893,104.0937
SP-III,-3.49817,104.1203
SP-KARANGAN,-3.50679,104.2536
SP-KRAYAN,-3.42474,103.9137
SP-V,-3.53018,104.2295
SP-VII,-3.50888,104.2178
SP-VIII,-3.46705,104.0258
SP-X,-3.50162,104.1668
SP-XI,-3.47604,104.0536
SPU,-3.48715,104.086
TL-001,-3.65012,103.6615
TL-002E,-3.64723,103.6758
TL-003,-3.64774,103.6632
TL-003E,-3.64841,103.6788
TL-004,-3.64791,103.6704
TL-005,-3.65209,103.6615
TL-007,-3.64657,103.6613
TL-008,-3.64554,103.6626
TL-009,-3.64592,103.6601
TL-010,-3.64426,103.6625
TL-011,-3.64386,103.6613
TL-012,-3.64173,103.662
TL-013,-3.64303,103.6622
TL-014,-3.65509,103.6607
TL-015,-3.6435,103.6633
TL-016,-3.64521,103.6613
TL-017,-3.64272,103.6693
TL-018,-3.64725,103.6602
TL-019,-3.64453,103.6617
TL-020,-3.64856,103.6602
TL-021,-3.64991,103.6602
TL-022,-3.65126,103.6605
TL-023,-3.65233,103.6615
TL-024,-3.64409,103.6648
TL-025,-3.65264,103.6637
TL-026,-3.65201,103.6659
TL-027,-3.64463,103.6673
TL-028,-3.64695,103.6694
TL-029,-3.64884,103.6673
TL-030,-3.65067,103.6593
TL-031,-3.64913,103.6691
TL-032,-3.64645,103.6725
TL-032 WO,-3.64645,103.6725
TL-033,-3.64698,103.6582
TL-034,-3.64874,103.6723
TL-035,-3.64331,103.6707
TL-035 WO,-3.64331,103.6707
TL-036,-3.64336,103.6684
TL-036A,-3.64322,103.6681
TL-037,-3.64472,103.6722
TL-038,-3.6507,103.6715
TL-039,-3.64721,103.6775
TL-040,-3.65154,103.6689
TL-041,-3.64841,103.6743
TL-042,-3.65226,103.6636
TL-043,-3.65019,103.6728
TL-044,-3.65266,103.6681
TL-045,-3.65263,103.6696
TL-046,-3.65235,103.6712
TL-047,-3.65096,103.6722
TL-048,-3.65387,103.669
TL-049,-3.65385,103.667
TL-04E,-3.64805,103.6801
TL-050,-3.64932,103.6734
TL-051,-3.64723,103.6714
TL-052,-3.64534,103.6769
TL-053,-3.64909,103.6706
TL-054,-3.64891,103.6739
TL-055,-3.65434,103.6682
TL-056,-3.65035,103.6701
TL-057,-3.65206,103.673
TL-058,-3.64712,103.675
TL-05E,-3.64471,103.6851
TL-06E,-3.64756,103.6814
TMB-001,-3.5508,104.3308
TMB-002,-3.54829,104.3327
TMB-003,-3.55341,104.329
TMB-004,-3.54369,104.3169
TMB-005,-3.54448,104.3359
TMB-006,-3.55726,104.3386
TMB-007,-3.54677,104.3277
TMB-008,-3.54233,104.3267
TMB-009,-3.55084,104.3163
TMB-010,-3.54946,104.3245
TMB-011,-3.55029,104.3161
TMB-012,-3.54865,104.3203
TMB-013,-3.55336,104.3247
TMB-014,-3.54594,104.3132
TMB-015,-3.54593,104.3131
TMB-016,-3.54594,104.3133
TMB-017,-3.54868,104.3204
TMB-018,-3.54593,104.3131
TMB-019,-3.53638,104.3179
TMB-020,-3.53662,104.3382
TMB-021,-3.54237,104.3268
TMB-022,-3.54861,104.3203
TMB-PB1,-3.54222,104.3144
TMB-PB2,-3.53631,104.3179
TMB-PF,-3.55725,104.3386
WAREHOUSE,-3.536389,104.308056
WAREHOUSE PRABUMULIH,-3.443081,104.233647
WORKSHOP RAM,-3.536389,104.308056
Workshop RAM,-3.47768,104.0826
WORKSHOP WS,-3.4785,104.081306
Workshop WS,-3.47768,104.0826
YARD LBD,-3.4775,104.0825
YARD LIMAU,-3.536389,104.308056
YARD PENDOPO,-3.260056,103.820083
YARD PRABUMULIH,-3.433244,104.220203
YARD WS,-3.478278,104.080611
